Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,
FDE02,8.71,Low Fat,0.00,Canned,92,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDN45,19.35,Low Fat,0.12,Snack Foods,223,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDS09,8.895,Regular,0.08,Snack Foods,49,OUT013,1987,High,Tier 3,Supermarket Type1,
NCA54,16.5,Low Fat,0.04,Household,181,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDP09,19.75,Low Fat,0.06,Snack Foods,213,OUT010,1998,NA,Tier 3,Grocery Store,
FDC53,8.68,Low Fat,0.01,Frozen Foods,99,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCM55,15.6,Low Fat,0.07,Others,187,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDL09,19.6,Regular,0.13,Snack Foods,169,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDA11,NA,Low Fat,0.08,Baking Goods,93,OUT019,1985,Small,Tier 1,Grocery Store,
FDA50,16.25,Low Fat,0.09,Dairy,95,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDC23,18,Low Fat,0.02,Starchy Foods,179,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDE22,9.695,Low Fat,0.03,Snack Foods,159,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDD23,9.5,Regular,0.05,Starchy Foods,187,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCA29,10.5,Low Fat,0.03,Household,173,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDK38,6.65,Low Fat,0.05,Canned,147,OUT046,1997,Small,Tier 1,Supermarket Type1,
DRC13,8.26,Regular,0.03,Soft Drinks,122,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCP43,17.75,Low Fat,0.03,Others,179,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDX28,6.325,Low Fat,0.13,Frozen Foods,100,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDF08,14.3,Regular,0.07,Fruits and Vegetables,90,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDZ33,10.195,Low Fat,0.11,Snack Foods,150,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDD10,20.6,Regular,0.05,Snack Foods,179,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDO58,19.6,Low Fat,0.04,Snack Foods,162,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDI50,8.42,Regular,0.03,Canned,230,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDO58,19.6,Low Fat,0.04,Snack Foods,166,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDX08,12.85,Low Fat,0.02,Fruits and Vegetables,181,OUT013,1987,High,Tier 3,Supermarket Type1,
NCK17,11,Low Fat,0.06,Health and Hygiene,41,OUT010,1998,NA,Tier 3,Grocery Store,
FDF39,14.85,Regular,0.02,Dairy,262,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDU45,15.6,Regular,0.06,Snack Foods,112,OUT010,1998,NA,Tier 3,Grocery Store,
NCJ18,12.35,Low Fat,0.16,Household,118,OUT018,2009,Medium,Tier 3,Supermarket Type2,
DRC27,NA,Low Fat,0.10,Dairy,246,OUT019,1985,Small,Tier 1,Grocery Store,
DRC25,5.73,Low Fat,0.05,Soft Drinks,85,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDU59,5.78,Low Fat,0.10,Breads,161,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDU28,19.2,Regular,0.00,Frozen Foods,190,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCP30,20.5,Low Fat,0.03,Household,41,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDB39,11.6,Low Fat,0.04,Dairy,55,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDE41,9.195,Regular,0.06,Frozen Foods,86,OUT013,1987,High,Tier 3,Supermarket Type1,
DRH11,5.98,Low Fat,0.13,Hard Drinks,56,OUT010,1998,NA,Tier 3,Grocery Store,
FDA58,9.395,Low Fat,0.10,Snack Foods,236,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDU50,5.75,Regular,0.08,Dairy,115,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDM34,19,Low Fat,0.07,Snack Foods,130,OUT013,1987,High,Tier 3,Supermarket Type1,
FDM44,NA,Low Fat,0.03,Fruits and Vegetables,102,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDR39,20.35,Low Fat,0.08,Meat,184,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDM25,10.695,Regular,0.06,Breakfast,176,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDQ49,20.2,Regular,0.04,Breakfast,156,OUT049,1999,Medium,Tier 1,Supermarket Type1,
DRH25,18.7,Low Fat,0.01,Soft Drinks,52,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDM09,NA,Regular,0.09,Snack Foods,171,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDL44,NA,Low Fat,0.02,Fruits and Vegetables,161,OUT019,1985,Small,Tier 1,Grocery Store,
NCR42,9.105,Low Fat,0.04,Household,32,OUT018,2009,Medium,Tier 3,Supermarket Type2,
DRL59,16.75,Low Fat,0.02,Hard Drinks,53,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDX43,5.655,Low Fat,0.09,Fruits and Vegetables,168,OUT013,1987,High,Tier 3,Supermarket Type1,
DRK47,7.905,Low Fat,0.11,Hard Drinks,227,OUT010,1998,NA,Tier 3,Grocery Store,
FDU48,18.85,Low Fat,0.06,Baking Goods,132,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDY12,9.8,Regular,0.14,Baking Goods,50,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCN43,12.15,Low Fat,0.01,Others,123,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCM55,15.6,Low Fat,0.07,Others,184,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDQ21,NA,Low Fat,0.00,Snack Foods,123,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDX13,7.725,Low Fat,0.05,Canned,251,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCK30,NA,Low Fat,0.06,Household,253,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDG20,15.5,Regular,0.13,Fruits and Vegetables,175,OUT049,1999,Medium,Tier 1,Supermarket Type1,
DRG27,8.895,Low Fat,0.11,Dairy,40,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDY14,10.3,Low Fat,0.07,Dairy,264,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDP59,20.85,Regular,0.06,Breads,103,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDU60,20,Regular,0.00,Baking Goods,169,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCC18,NA,Low Fat,0.31,Household,172,OUT019,1985,Small,Tier 1,Grocery Store,
DRJ39,20.25,Low Fat,0.04,Dairy,218,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDS07,12.35,Low Fat,0.10,Fruits and Vegetables,113,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDM08,NA,Regular,0.05,Fruits and Vegetables,223,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDP51,13.85,Regular,0.09,Meat,120,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDU16,19.25,Regular,0.06,Frozen Foods,82,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDH12,9.6,Low Fat,0.08,Baking Goods,107,OUT013,1987,High,Tier 3,Supermarket Type1,
DRE48,8.43,Low Fat,0.03,Soft Drinks,196,OUT010,1998,NA,Tier 3,Grocery Store,
NCL42,NA,Low Fat,0.04,Household,244,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDR21,19.7,Low Fat,0.07,Snack Foods,178,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCW29,14,Low Fat,0.03,Health and Hygiene,131,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDO11,8,Regular,0.03,Breads,251,OUT013,1987,High,Tier 3,Supermarket Type1,
NCM31,6.095,Low Fat,0.08,Others,141,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDV35,NA,Low Fat,0.22,Breads,155,OUT019,1985,Small,Tier 1,Grocery Store,
FDF58,13.3,Low Fat,0.01,Snack Foods,62,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCE43,12.5,Low Fat,0.10,Household,169,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDA02,14,Regular,0.03,Dairy,144,OUT035,2004,Small,Tier 2,Supermarket Type1,
DRL37,15.5,Low Fat,0.09,Soft Drinks,44,OUT010,1998,NA,Tier 3,Grocery Store,
FDR24,17.35,Regular,0.06,Baking Goods,91,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDW59,13.15,Low Fat,0.02,Breads,83,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDS22,16.85,Regular,0.02,Snack Foods,45,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDW24,6.8,Low Fat,0.04,Baking Goods,50,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDU24,6.78,Regular,0.14,Baking Goods,95,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDA21,NA,Low Fat,0.04,Snack Foods,186,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDH58,NA,Low Fat,0.04,Snack Foods,117,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDW36,11.15,Low Fat,0.06,Baking Goods,104,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDI45,NA,Low Fat,0.04,Fruits and Vegetables,173,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDU01,20.25,Regular,0.00,Canned,186,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDF35,NA,Low Fat,0.15,Starchy Foods,109,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDU43,NA,Regular,0.10,Fruits and Vegetables,237,OUT019,1985,Small,Tier 1,Grocery Store,
FDE24,NA,Low Fat,0.16,Baking Goods,144,OUT019,1985,Small,Tier 1,Grocery Store,
FDK50,7.96,Low Fat,0.03,Canned,163,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDG31,12.15,Low Fat,0.04,Meat,63,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDC60,5.425,Regular,0.11,Baking Goods,90,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDL36,15.1,Low Fat,0.08,Baking Goods,90,OUT013,1987,High,Tier 3,Supermarket Type1,
FDP21,7.42,Regular,0.03,Snack Foods,190,OUT013,1987,High,Tier 3,Supermarket Type1,
FDW16,17.35,Regular,0.04,Frozen Foods,91,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDX02,16,Low Fat,0.06,Dairy,225,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDQ58,NA,Low Fat,0.02,Snack Foods,154,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDT51,11.65,Regular,0.01,Meat,111,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDD59,10.5,Regular,0.07,Starchy Foods,79,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCM42,6.13,Low Fat,0.03,Household,109,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDA57,18.85,Low Fat,0.04,Snack Foods,40,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDZ48,17.75,Low Fat,0.00,Baking Goods,112,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDE46,18.6,Low Fat,0.02,Snack Foods,152,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCZ30,NA,Low Fat,0.05,Household,121,OUT019,1985,Small,Tier 1,Grocery Store,
FDB56,8.75,Regular,0.08,Fruits and Vegetables,188,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDA25,NA,Regular,0.07,Canned,104,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDD20,14.15,Low Fat,0.00,Fruits and Vegetables,125,OUT013,1987,High,Tier 3,Supermarket Type1,
FDL25,6.92,Regular,0.13,Breakfast,92,OUT013,1987,High,Tier 3,Supermarket Type1,
NCO18,13.15,Low Fat,0.02,Household,177,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDJ45,17.75,Low Fat,0.07,Seafood,35,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDR12,12.6,Regular,0.03,Baking Goods,170,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCF19,13,Low Fat,0.06,Household,47,OUT010,1998,NA,Tier 3,Grocery Store,
FDK25,11.6,Regular,0.16,Breakfast,167,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCR17,9.8,Low Fat,0.02,Health and Hygiene,114,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDC52,11.15,Regular,0.01,Dairy,152,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCA54,16.5,Low Fat,0.04,Household,181,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDR45,10.8,Low Fat,0.05,Snack Foods,239,OUT010,1998,NA,Tier 3,Grocery Store,
NCM19,12.65,Low Fat,0.05,Others,113,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDF39,NA,Regular,0.02,Dairy,263,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDX23,6.445,Low Fat,0.03,Baking Goods,97,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDD58,NA,Low Fat,0.06,Snack Foods,100,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDX28,6.325,low fat,0.13,Frozen Foods,101,OUT013,1987,High,Tier 3,Supermarket Type1,
NCD31,12.1,Low Fat,0.02,Household,163,OUT013,1987,High,Tier 3,Supermarket Type1,
FDU57,8.27,Regular,0.09,Snack Foods,151,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDI27,8.71,Regular,0.05,Dairy,46,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCM42,6.13,Low Fat,0.03,Household,108,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDD32,NA,Regular,0.04,Fruits and Vegetables,81,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDI34,10.65,Regular,0.09,Snack Foods,229,OUT013,1987,High,Tier 3,Supermarket Type1,
NCM29,11.5,Low Fat,0.02,Health and Hygiene,130,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDG46,8.63,Regular,0.03,Snack Foods,113,OUT018,2009,Medium,Tier 3,Supermarket Type2,
DRC01,5.92,Regular,0.03,Soft Drinks,49,OUT010,1998,NA,Tier 3,Grocery Store,
FDB15,NA,Low Fat,0.14,Dairy,263,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCA17,NA,Low Fat,0.05,Health and Hygiene,150,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDF10,15.5,Regular,0.16,Snack Foods,148,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDR26,NA,Low Fat,0.04,Dairy,179,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDI02,15.7,Regular,0.11,Canned,112,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCM54,17.7,Low Fat,0.09,Household,128,OUT010,1998,NA,Tier 3,Grocery Store,
FDF14,7.55,Low Fat,0.03,Canned,151,OUT013,1987,High,Tier 3,Supermarket Type1,
FDJ33,8.895,Regular,0.15,Snack Foods,121,OUT010,1998,NA,Tier 3,Grocery Store,
FDM20,10,Low Fat,0.04,Fruits and Vegetables,246,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDC03,NA,Regular,0.07,Dairy,196,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCX05,15.2,Low Fat,0.10,Health and Hygiene,117,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCM41,NA,Low Fat,0.04,Health and Hygiene,92,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCU29,7.685,Low Fat,0.04,Health and Hygiene,148,OUT010,1998,NA,Tier 3,Grocery Store,
FDQ59,9.8,Regular,0.06,Breads,83,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDH46,6.935,Regular,0.07,Snack Foods,102,OUT010,1998,NA,Tier 3,Grocery Store,
FDH09,12.6,Low Fat,0.06,Seafood,51,OUT013,1987,High,Tier 3,Supermarket Type1,
NCD06,13,Low Fat,0.10,Household,47,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDC15,18.1,Low Fat,0.18,Dairy,156,OUT035,2004,Small,Tier 2,Supermarket Type1,
DRD37,NA,Low Fat,0.01,Soft Drinks,45,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDT28,NA,Low Fat,0.06,Frozen Foods,149,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDR28,NA,Regular,0.03,Frozen Foods,164,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDT38,18.7,Low Fat,0.06,Dairy,86,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDV34,NA,Regular,0.01,Snack Foods,75,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDY52,6.365,Low Fat,0.00,Frozen Foods,63,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDB34,15.25,Low Fat,0.03,Snack Foods,86,OUT013,1987,High,Tier 3,Supermarket Type1,
DRL23,18.35,Low Fat,0.02,Hard Drinks,106,OUT018,2009,Medium,Tier 3,Supermarket Type2,
DRB24,8.785,Low Fat,0.02,Soft Drinks,154,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDJ50,8.645,Low Fat,0.02,Canned,54,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDQ49,20.2,Regular,0.04,Breakfast,154,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDP20,19.85,Low Fat,0.05,Fruits and Vegetables,125,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDV19,NA,Regular,0.04,Fruits and Vegetables,159,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCR54,16.35,Low Fat,0.09,Household,196,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDO09,13.5,Regular,0.21,Snack Foods,261,OUT010,1998,NA,Tier 3,Grocery Store,
FDS57,15.5,Low Fat,0.10,Snack Foods,143,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDN10,11.5,Low Fat,0.05,Snack Foods,117,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDV23,11,Low Fat,0.11,Breads,126,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDY28,7.47,Regular,0.15,Frozen Foods,214,OUT049,1999,Medium,Tier 1,Supermarket Type1,
DRG51,12.1,Low Fat,0.01,Dairy,162,OUT013,1987,High,Tier 3,Supermarket Type1,
FDD45,NA,Low Fat,0.20,Fruits and Vegetables,93,OUT019,1985,Small,Tier 1,Grocery Store,
NCL18,NA,Low Fat,0.17,Household,193,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCM29,11.5,Low Fat,0.02,Health and Hygiene,130,OUT013,1987,High,Tier 3,Supermarket Type1,
FDF17,NA,Low Fat,0.04,Frozen Foods,196,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDE22,9.695,Low Fat,0.03,Snack Foods,161,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDQ22,16.75,Low Fat,0.03,Snack Foods,37,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDS01,11.6,Low Fat,0.02,Canned,180,OUT013,1987,High,Tier 3,Supermarket Type1,
FDW35,NA,Low Fat,0.01,Breads,42,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDJ33,8.895,Regular,0.09,Snack Foods,124,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCF54,18,Low Fat,0.05,Household,172,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDE09,8.775,Low Fat,0.02,Fruits and Vegetables,110,OUT013,1987,High,Tier 3,Supermarket Type1,
NCE06,5.825,Low Fat,0.09,Household,161,OUT045,2002,NA,Tier 2,Supermarket Type1,
DRH49,19.7,Low Fat,0.02,Soft Drinks,81,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDY43,14.85,Low Fat,0.10,Fruits and Vegetables,170,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCT05,10.895,Low Fat,0.02,Health and Hygiene,255,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDZ34,6.695,Low Fat,0.08,Starchy Foods,192,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDL38,13.8,Regular,0.01,Canned,88,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDZ31,15.35,Regular,0.11,Fruits and Vegetables,190,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDR14,11.65,Low Fat,0.17,Dairy,56,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCN54,20.35,Low Fat,0.02,Household,79,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCC42,NA,Low Fat,0.04,Health and Hygiene,140,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDK08,9.195,Regular,0.00,Fruits and Vegetables,100,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDP59,20.85,Regular,0.06,Breads,106,OUT013,1987,High,Tier 3,Supermarket Type1,
FDV22,14.85,Regular,0.01,Snack Foods,157,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDD33,12.85,Low Fat,0.11,Fruits and Vegetables,234,OUT035,2004,Small,Tier 2,Supermarket Type1,
DRE60,NA,Low Fat,0.16,Soft Drinks,227,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDK52,18.25,Low Fat,0.08,Frozen Foods,227,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDA02,14,Regular,0.03,Dairy,146,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDM56,16.7,Low Fat,0.07,Fruits and Vegetables,109,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDE57,9.6,Low Fat,0.04,Fruits and Vegetables,141,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDM32,20.5,Low Fat,0.02,Fruits and Vegetables,89,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCQ30,NA,Low Fat,0.03,Household,122,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDQ27,NA,Regular,0.00,Meat,105,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDT60,NA,Low Fat,0.08,Baking Goods,125,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDU43,19.35,Regular,0.06,Fruits and Vegetables,240,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCO55,12.8,Low Fat,0.09,Others,107,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDG02,7.855,Low Fat,0.01,Canned,191,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDJ28,12.3,Low Fat,0.02,Frozen Foods,191,OUT013,1987,High,Tier 3,Supermarket Type1,
FDP40,4.555,Regular,0.03,Frozen Foods,112,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDJ38,8.6,Regular,0.04,Canned,191,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCC54,17.75,Low Fat,0.10,Health and Hygiene,242,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCZ41,19.85,Low Fat,0.06,Health and Hygiene,125,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDK38,NA,Low Fat,0.00,Canned,148,OUT019,1985,Small,Tier 1,Grocery Store,
FDU52,7.56,Low Fat,0.06,Frozen Foods,155,OUT013,1987,High,Tier 3,Supermarket Type1,
FDC40,16,Regular,0.07,Dairy,76,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCR30,20.6,Low Fat,0.07,Household,74,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCN18,8.895,Low Fat,0.13,Household,112,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDB50,13,Low Fat,0.15,Canned,78,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDG04,13.1,low fat,0.01,Frozen Foods,188,OUT013,1987,High,Tier 3,Supermarket Type1,
FDR26,20.7,Low Fat,0.04,Dairy,177,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCT17,10.8,Low Fat,0.04,Health and Hygiene,188,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDX35,NA,Regular,0.08,Breads,227,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDS12,9.1,Low Fat,0.17,Baking Goods,127,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCZ29,NA,Low Fat,0.07,Health and Hygiene,126,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDB38,19.5,Regular,0.05,Canned,161,OUT010,1998,NA,Tier 3,Grocery Store,
FDP12,9.8,Regular,0.05,Baking Goods,37,OUT013,1987,High,Tier 3,Supermarket Type1,
FDP22,14.65,Regular,0.10,Snack Foods,52,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDS26,20.35,Low Fat,0.09,Dairy,261,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDR52,12.65,Regular,0.08,Frozen Foods,192,OUT046,1997,Small,Tier 1,Supermarket Type1,
DRJ13,12.65,Low Fat,0.06,Soft Drinks,161,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDU48,NA,Low Fat,0.06,Baking Goods,131,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDE29,8.905,Low Fat,0.14,Frozen Foods,61,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCT29,12.6,Low Fat,0.06,Health and Hygiene,122,OUT049,1999,Medium,Tier 1,Supermarket Type1,
DRK37,5,Low Fat,0.04,Soft Drinks,189,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDK55,18.5,Low Fat,0.03,Meat,88,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDR07,21.35,Low Fat,0.08,Fruits and Vegetables,96,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDO21,NA,Regular,0.01,Snack Foods,225,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDK46,9.6,Low Fat,0.05,Snack Foods,261,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDB12,11.15,Regular,0.11,Baking Goods,105,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDT31,NA,low fat,0.01,Fruits and Vegetables,189,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDJ33,8.895,Regular,0.09,Snack Foods,124,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDC26,NA,Low Fat,0.13,Canned,110,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCQ02,12.6,Low Fat,0.01,Household,188,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDP08,20.5,Regular,0.19,Fruits and Vegetables,193,OUT010,1998,NA,Tier 3,Grocery Store,
FDB11,NA,Low Fat,0.06,Starchy Foods,226,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDV55,17.75,Low Fat,0.06,Fruits and Vegetables,146,OUT013,1987,High,Tier 3,Supermarket Type1,
FDW20,20.75,Low Fat,0.02,Fruits and Vegetables,122,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCJ18,NA,Low Fat,0.29,Household,121,OUT019,1985,Small,Tier 1,Grocery Store,
FDC41,15.6,Low Fat,0.12,Frozen Foods,76,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDE14,NA,Regular,0.03,Canned,101,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDG35,21.2,Regular,0.01,Starchy Foods,176,OUT013,1987,High,Tier 3,Supermarket Type1,
FDF45,18.2,Regular,0.01,Fruits and Vegetables,57,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDS19,NA,Regular,0.06,Fruits and Vegetables,78,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDS58,NA,Regular,0.04,Snack Foods,159,OUT019,1985,Small,Tier 1,Grocery Store,
